"ciputBE","ciputAccount","ciputCntrPrtNum","ciputCntrPrtName","ciputCAC","ciputAgentNum","ciputAgentName","ciputCnName","ciputLink","ciputCnInv","ciputEntryDate","ciputDocDate","ciputDueDate","ciputDbtBlns","ciputDbtBlnsOverd","ciputDbtBlnsOverdNot","ciputCdtBlns","ciputCdtBlnsOverd","ciputCdtBlnsOverdNot","ciputBlns","ciputCnInvDocCode","ciputAlligmentDate","ciputBaseDate","ciputCnInvDocSum","ciputStornoReason","ciputStornoDocCode","ciputSheetNum","ciputUnloadKey"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006699","1009345","ГАЗПРОМ ИНВЕСТ","1","А600","63990","30.09.2024","30.09.2024","31.12.2024","0","0","0","0","0","0","0","8800436476","31.12.2024","31.12.2024","62964,45",,,"3754","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006699","1009345","ГАЗПРОМ ИНВЕСТ","1","63990","63990","15.10.2024","15.10.2024","31.12.2024","0","0","0","0","0","0","0","8800447300","31.12.2024","31.12.2024","115883,87",,,"3755","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006699","1009345","ГАЗПРОМ ИНВЕСТ","1","А836","99071","30.09.2024","10.09.2024","31.12.2025","1250000","0","1250000","0","0","0","1250000","5500119706",,"31.12.2025","1250000",,,"3756","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006701","1009345","ГАЗПРОМ ИНВЕСТ","1",,"64313","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800647914","31.12.2024","31.12.2024","441666,66",,,"3757","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006701","1009345","ГАЗПРОМ ИНВЕСТ","1",,"64313","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800647914","31.12.2024","31.12.2024","1500000",,,"3758","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006701","1009345","ГАЗПРОМ ИНВЕСТ","1",,"64313","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800647914","31.12.2024","31.12.2024","1270000",,,"3759","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006701","1009345","ГАЗПРОМ ИНВЕСТ","1","А706","64313","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800032278","31.12.2024","31.12.2024","1270000",,,"3760","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006701","1009345","ГАЗПРОМ ИНВЕСТ","1","А706","64313","30.06.2024","18.06.2024","31.12.2024","0","0","0","0","0","0","0","5500077652","31.12.2024","31.12.2024","1500000",,,"3761","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006701","1009345","ГАЗПРОМ ИНВЕСТ","1",,"64313","30.11.2024","30.11.2024","31.12.2024","0","0","0","0","0","0","0","8800570252","31.12.2024","31.12.2024","142124,43",,,"3762","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006701","1009345","ГАЗПРОМ ИНВЕСТ","1",,"64313","30.11.2024","30.11.2024","31.12.2024","0","0","0","0","0","0","0","8800570253","31.12.2024","31.12.2024","299542,23",,,"3763","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006701","1009345","ГАЗПРОМ ИНВЕСТ","1","А827","99067","30.09.2024","10.09.2024","31.12.2025","1250000","0","1250000","0","0","0","1250000","5500119707",,"31.12.2025","1250000",,,"3764","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006702","1009345","ГАЗПРОМ ИНВЕСТ","1",,"98929","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800643073","31.12.2024","31.12.2024","587500",,,"3765","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006702","1009345","ГАЗПРОМ ИНВЕСТ","1",,"98929","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800643073","31.12.2024","31.12.2024","705000",,,"3766","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006702","1009345","ГАЗПРОМ ИНВЕСТ","1","А840","98929","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800032090","31.12.2024","31.12.2024","705000",,,"3767","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031551","31.12.2024","31.12.2024","27639327,24",,,"3236","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645094","31.12.2024","31.12.2024","2195863,85",,,"3237","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031546","31.12.2024","31.12.2024","2195863,85",,,"3238","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645158","31.12.2024","31.12.2024","15476103,49",,,"3239","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031549","31.12.2024","31.12.2024","15476103,49",,,"3240","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645088","31.12.2024","31.12.2024","1977500,65",,,"3241","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031545","31.12.2024","31.12.2024","1977500,65",,,"3242","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800608637","31.12.2024","31.12.2024","1438952,53",,,"3243","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800030579","31.12.2024","31.12.2024","1438952,53",,,"3244","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800608704","31.12.2024","31.12.2024","6622117,32",,,"3245","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800030615","31.12.2024","31.12.2024","6622117,32",,,"3246","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031548","31.12.2024","31.12.2024","4196649,9",,,"3247","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645103","31.12.2024","31.12.2024","4196649,9",,,"3248","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645251","31.12.2024","31.12.2024","12579741,71",,,"3249","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645216","31.12.2024","31.12.2024","3397864,24",,,"3306","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031562","31.12.2024","31.12.2024","3397864,24",,,"3307","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645241","31.12.2024","31.12.2024","902828,7",,,"3308","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031568","31.12.2024","31.12.2024","902828,7",,,"3309","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645243","31.12.2024","31.12.2024","1441549,28",,,"3310","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031569","31.12.2024","31.12.2024","1441549,28",,,"3311","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645236","31.12.2024","31.12.2024","4070116,99",,,"3312","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031567","31.12.2024","31.12.2024","4070116,99",,,"3313","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645254","31.12.2024","31.12.2024","4929226,5",,,"3314","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031573","31.12.2024","31.12.2024","4929226,5",,,"3315","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800645260","31.12.2024","31.12.2024","6004137,88",,,"3316","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031576","31.12.2024","31.12.2024","6004137,88",,,"3317","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031555","31.12.2024","31.12.2024","4194714,26",,,"3318","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А716","64736","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800608708","31.12.2024","31.12.2024","2064436,08",,,"3319","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006711","1009345","ГАЗПРОМ ИНВЕСТ","1","А605","64239","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800032299","31.12.2024","31.12.2024","57126,24",,,"3810","32"
